inventory_id,product_id,stock,warehouse_id,last_stock_date
1,1,428,23,2023-09-22
2,2,329,12,2022-07-18
3,3,36,4,2022-12-29
4,4,141,25,2023-11-16
5,5,457,8,2023-07-31
6,6,247,18,2022-04-07
7,7,184,16,2022-09-09
8,8,133,3,2022-11-22
9,9,296,3,2022-01-23
10,10,344,13,2023-03-13
11,11,6,17,2023-03-07
12,12,433,6,2022-08-30
13,13,366,13,2022-12-28
14,14,30,10,2023-02-11
15,15,19,5,2023-02-25
16,16,467,21,2022-06-28
17,17,414,5,2022-11-15
18,18,441,16,2023-07-20
19,19,327,20,2022-05-15
20,20,74,11,2022-04-18
21,21,326,18,2023-12-15
22,22,74,14,2023-10-19
23,23,50,25,2022-09-08
24,24,172,2,2023-03-02
25,25,64,3,2022-03-03
26,26,271,10,2022-02-03
27,27,39,11,2023-05-07
28,28,432,20,2023-08-19
29,29,254,21,2022-01-19
30,30,202,5,2023-12-28
31,31,314,17,2022-03-07
32,32,19,19,2023-09-19
33,33,244,21,2022-12-29
34,34,94,14,2023-06-28
35,35,202,14,2023-01-19
36,36,25,18,2022-08-08
37,37,214,18,2022-04-06
38,38,390,13,2023-07-25
39,39,476,22,2022-06-17
40,40,58,10,2022-02-12
41,41,226,8,2023-04-28
42,42,100,2,2023-06-23
43,43,351,15,2022-03-26
44,44,472,9,2022-07-22
45,45,296,1,2022-07-19
46,46,316,1,2023-09-10
47,47,457,5,2022-01-27
48,48,467,2,2022-12-16
49,49,432,24,2023-11-12
50,50,200,6,2023-02-12
51,51,407,2,2023-05-09
52,52,3,21,2022-07-01
53,53,333,10,2023-05-20
54,54,146,17,2022-12-01
55,55,457,21,2023-04-05
56,56,319,17,2023-07-02
57,57,431,17,2023-09-23
58,58,87,3,2022-08-25
59,59,86,15,2022-08-22
60,60,272,4,2022-12-05
61,61,480,6,2022-06-06
62,62,305,7,2022-06-27
63,63,69,19,2023-04-10
64,64,343,22,2022-06-28
65,65,493,25,2022-12-02
66,66,131,2,2022-04-25
67,67,151,19,2023-11-18
68,68,436,22,2022-09-12
69,69,281,22,2022-10-30
70,70,250,25,2023-01-12
71,71,149,8,2023-10-19
72,72,43,17,2023-07-04
73,73,205,10,2023-01-05
74,74,307,9,2023-04-11
75,75,279,2,2022-02-28
76,76,243,21,2023-08-11
77,77,88,24,2022-10-04
78,78,385,14,2022-08-10
79,79,204,14,2023-09-06
80,80,427,17,2022-09-05
81,81,244,12,2023-01-04
82,82,500,21,2023-10-28
83,83,187,21,2022-01-18
84,84,143,11,2023-07-12
85,85,124,18,2023-05-20
86,86,184,2,2022-01-14
87,87,447,24,2023-05-27
88,88,382,15,2022-02-02
89,89,315,19,2022-02-25
90,90,374,7,2022-04-29
91,91,227,5,2022-04-08
92,92,322,3,2022-08-21
93,93,392,12,2023-08-25
94,94,361,17,2022-01-03
95,95,144,7,2022-08-03
96,96,121,4,2023-01-19
97,97,344,14,2023-08-18
98,98,215,9,2022-01-19
99,99,59,2,2022-03-27
100,100,159,13,2022-02-01
101,101,46,20,2023-11-25
102,102,102,7,2022-12-01
103,103,95,1,2023-03-22
104,104,85,6,2023-01-28
105,105,27,22,2023-08-04
106,106,106,3,2023-02-02
107,107,380,9,2022-05-14
108,108,389,13,2023-02-13
109,109,428,8,2022-08-25
110,110,59,13,2022-04-07
111,111,149,2,2023-07-17
112,112,488,5,2022-07-14
113,113,53,1,2022-03-07
114,114,243,3,2023-12-09
115,115,229,4,2023-09-09
116,116,406,19,2022-10-30
117,117,162,15,2022-09-14
118,118,23,11,2022-04-23
119,119,309,22,2023-10-15
120,120,293,12,2022-01-30
121,121,283,3,2023-09-05
122,122,458,23,2022-01-12
123,123,2,25,2022-12-07
124,124,211,25,2023-03-28
125,125,408,8,2023-10-15
126,126,183,6,2023-03-04
127,127,115,12,2023-09-05
128,128,188,3,2023-04-29
129,129,409,14,2022-09-02
130,130,185,6,2022-09-28
131,131,56,8,2023-10-30
132,132,483,1,2022-06-03
133,133,360,6,2023-06-24
134,134,401,25,2023-01-21
135,135,245,4,2022-02-25
136,136,203,14,2022-12-01
137,137,380,14,2022-01-23
