order_item_id,order_id,product_id,quantity,price_per_unit
1,2901,404,2,17452.79
2,2829,94,1,10385.52
3,1008,798,4,18054.15
4,1455,798,2,18829.1
5,2265,475,4,5927.6
6,661,791,3,8149.5
7,1262,559,2,22710.65
8,848,570,3,16388.15
9,2712,329,5,3554.22
10,597,186,5,17089.15
11,296,175,3,10617.85
12,420,321,1,14413.22
13,1978,515,3,19793.69
14,697,630,1,21136.33
15,961,57,3,24204.27
16,2695,542,1,10310.5
17,870,614,1,17983.79
18,1432,466,3,16307.6
19,1993,236,3,5059.66
20,1121,366,2,8985.1
21,2054,542,3,10033.96
22,989,473,1,3208.14
23,1874,308,5,6065.5
24,2916,267,3,8737.53
25,2433,618,2,6632.84
26,1590,237,4,5246.39
27,1675,32,2,2877.35
28,595,543,2,18145.2
29,2509,71,2,10041.41
30,2129,660,5,7209.94
31,562,187,4,12379.61
32,1306,526,4,2670.59
33,2981,180,5,21189.09
34,598,179,4,6694.39
35,402,202,1,15774.35
36,471,569,4,18342.64
37,66,701,1,3787.54
38,984,126,4,19359.89
39,1540,419,3,22902.54
40,1787,218,3,18378.61
41,2534,495,5,12636.42
42,1255,525,5,12457.64
43,14,365,4,3183.47
44,638,193,3,966.98
45,1531,391,4,1066.6
46,445,491,4,12345.27
47,2757,167,5,2293.65
48,2221,603,1,12176.6
49,2051,230,2,16980.99
50,699,140,5,13845.51
51,809,264,4,23463.7
52,716,441,3,2856.17
53,2612,350,1,1650.98
54,2466,589,5,18086.69
55,2832,707,1,407.43
56,1437,546,5,4553.09
57,563,492,2,14374.06
58,1905,545,2,5721.86
59,69,701,3,3726.65
60,2139,722,1,6554.5
61,568,420,5,17207.97
62,931,295,2,3764.96
63,287,400,3,13734.78
64,1149,527,5,4573.93
65,82,770,5,6510.85
66,1120,597,3,13983.1
67,1903,575,3,18919.34
68,1006,503,3,6572.37
69,2783,585,3,20729.81
70,648,130,5,7269.16
71,2090,607,1,883.47
72,2172,74,4,13572.28
73,2857,474,5,11185.21
74,650,679,1,20303.86
75,266,307,5,7959.42
76,702,655,5,22028.69
77,2231,463,1,15160.19
78,2334,337,5,18522.6
79,1518,269,3,18337.41
80,984,273,2,10520.09
81,1561,779,2,23530.33
82,1533,401,5,6188.24
83,2399,187,2,12008.15
84,2028,215,5,11992.13
85,2883,771,4,18558.36
86,2759,117,1,1784.95
87,441,625,4,23370.03
88,2547,82,3,10391.66
89,2308,345,5,5815.22
90,828,24,5,4095.62
91,143,738,5,17004.92
92,2644,171,1,6409.91
93,2807,591,1,6621.94
94,2404,152,5,7208.13
95,1114,434,5,16267.1
96,2377,383,1,16416.43
97,2263,673,3,4187.22
98,2844,552,1,782.91
99,2501,476,1,1919.35
100,2431,685,3,8552.97
101,1315,690,4,21679.92
102,1068,763,1,12596.49
103,405,247,5,9754.36
104,1681,255,5,8625.0
105,2996,588,4,4450.53
106,698,662,3,2082.51
107,1645,250,4,22484.94
108,1231,61,5,19068.65
109,1697,548,1,2157.03
110,1579,735,1,16246.05
111,650,336,1,5442.54
112,982,307,2,8104.74
113,914,212,4,888.02
114,525,352,5,7589.89
115,786,389,4,14695.56
116,2233,451,1,350.51
117,2322,358,5,17709.0
118,1251,411,5,1178.11
119,1931,362,2,15118.13
120,25,62,1,5477.22
121,1809,558,3,7580.17
122,495,770,4,6086.45
123,498,649,3,18719.52
124,1463,253,1,10068.8
125,1857,396,4,10551.93
126,2429,500,5,12235.94
127,1791,356,1,20370.21
128,2461,298,2,8747.72
129,2303,696,5,7282.66
130,2393,138,5,1269.67
131,979,483,4,22463.51
132,2742,29,2,1332.48
133,2523,432,4,14406.87
134,1331,352,2,7429.07
135,860,534,1,22915.97
136,2990,262,3,19229.95
137,1512,722,4,6235.88
138,1353,108,5,23745.89
139,651,473,3,3303.53
140,2671,210,3,6081.76
141,95,651,3,19967.27
142,1364,272,1,18851.08
143,2614,128,1,16580.34
144,2761,574,5,957.38
145,1636,503,2,6144.79
146,2911,147,4,23315.9
147,2556,433,2,13925.41
148,1225,522,1,1530.47
149,100,266,3,4380.03
150,217,542,5,10163.65
151,964,325,2,20299.58
152,2477,590,4,10364.5
153,1208,46,4,16364.48
154,1140,267,5,8541.7
155,693,709,1,14081.81
156,1299,178,5,13207.15
157,394,285,5,19078.07
158,2344,784,3,3818.77
159,727,773,3,1517.54
160,1133,724,2,13081.72
161,174,786,3,21003.18
162,789,465,2,11279.63
163,2575,127,4,372.73
164,2377,202,1,16380.1
165,615,436,5,3165.81
166,2659,123,1,21523.74
167,738,278,1,17614.17
168,1127,214,5,4884.76
169,65,536,1,1242.66
170,1002,211,5,21401.56
171,2401,668,3,12438.16
172,1719,228,2,17134.63
173,482,291,4,2555.8
174,2640,258,1,1514.63
175,16,9,5,606.27
176,1367,116,3,18016.89
177,1547,653,4,16157.6
178,2716,191,5,15849.1
179,1284,137,3,7097.86
180,2834,171,1,6734.66
181,937,70,2,12890.12
182,2152,239,1,23730.13
183,823,742,3,15770.95
184,933,138,1,1187.36
185,563,287,1,9110.94
186,2904,725,4,2556.41
187,954,722,3,6251.8
188,1118,221,2,8917.03
189,1844,800,2,956.29
190,1888,659,1,1032.51
191,724,495,5,12998.85
192,38,650,2,12712.18
193,1539,284,5,2997.64
194,170,29,5,1358.37
195,1740,572,4,1819.25
196,1630,400,3,13917.36
197,1673,589,4,17004.83
198,2481,182,3,10209.9
199,916,508,3,22418.08
200,1178,190,3,10651.69
201,8,711,2,2234.09
202,1135,103,1,3357.85
203,1117,637,1,14853.2
204,631,313,4,2355.08
205,2031,102,4,13692.31
206,2832,487,1,4822.72
207,2569,409,4,13074.69
208,219,174,1,486.59
209,431,156,1,13490.65
210,1032,344,2,20521.32
211,1602,425,2,13288.16
212,2078,370,2,12247.08
213,1856,557,5,3410.61
214,1144,348,4,12999.31
215,1975,321,1,13882.81
216,2597,507,2,20898.85
217,2243,577,1,21796.03
218,1638,473,2,3296.93
219,636,92,2,21789.06
220,518,36,4,3120.5
221,2680,96,1,21776.79
222,2007,390,5,14935.71
223,1888,522,4,1633.12
224,651,671,4,12503.62
225,292,191,1,15670.66
226,2248,260,3,23900.25
227,2661,727,3,14085.13
228,438,115,4,15921.63
229,2840,172,5,21615.32
230,1046,71,4,10687.59
231,1260,466,3,16372.95
232,174,417,1,3549.39
233,2880,149,2,6564.74
234,1064,301,2,13944.84
235,104,148,1,23163.46
236,909,16,2,10982.42
237,2416,220,5,12499.34
238,2459,85,2,13937.61
239,1660,681,1,23515.73
240,1918,313,4,2422.33
241,1138,486,2,19000.61
242,2522,24,2,4103.14
243,311,431,3,21255.21
244,128,231,2,20274.01
245,1676,81,4,23623.37
246,2641,308,5,5786.35
247,2355,694,2,13219.84
248,2347,354,3,8645.86
249,853,360,1,7286.66
250,1253,135,1,5033.2
251,1867,684,1,6892.96
252,2518,550,5,11114.53
253,745,94,2,10255.95
254,2010,554,4,7397.5
255,2402,720,3,19369.57
256,1377,549,4,7422.24
257,1004,570,4,16521.11
258,2444,527,4,4489.99
259,2865,475,4,6472.7
260,1320,10,5,1823.36
261,1127,320,4,1144.17
262,1879,524,2,533.87
263,1949,674,5,16862.04
264,605,579,1,9042.44
265,1732,503,3,6561.86
266,2225,581,2,20920.5
267,1963,308,1,5803.18
268,1972,585,5,21110.35
269,1772,787,2,15424.75
270,2837,748,2,20226.06
271,858,334,2,16188.74
272,757,276,5,15786.52
273,2002,460,1,7273.87
274,2104,121,2,10506.63
275,176,541,4,11736.45
276,810,443,2,1330.49
277,1775,10,2,1735.38
278,1817,171,2,6612.27
279,1981,504,2,4761.3
280,2584,368,3,3215.08
281,920,214,2,4626.79
282,71,22,1,22124.19
283,405,386,2,22894.96
284,2611,762,4,7128.28
285,2527,608,1,18793.16
286,611,4,5,15752.47
287,556,787,5,16420.28
288,378,125,3,19420.22
289,1643,3,1,17567.06
290,744,95,4,1623.93
291,2166,760,2,1454.26
292,2962,143,4,14530.83
293,1340,468,5,10884.05
294,890,792,5,20518.34
295,1455,758,5,13487.19
296,1250,10,5,1874.97
297,2324,345,3,6158.51
298,1924,85,5,13196.8
299,1913,265,4,21483.16
300,1931,52,1,1037.08
301,260,604,5,11791.61
302,1198,225,2,7277.31
303,1764,100,2,8462.94
304,472,85,1,13334.21
305,88,88,3,10211.7
306,22,619,5,23222.06
307,2111,711,3,2272.41
308,2650,145,5,13966.04
309,228,317,2,19253.69
310,896,194,3,18342.2
311,1314,681,1,22252.19
312,377,209,3,14873.94
313,2484,285,4,18881.39
314,1111,458,3,23010.98
315,1243,589,5,17730.02
316,1511,291,5,2675.09
317,1864,280,4,12624.34
318,1275,152,1,6648.27
319,608,564,2,7374.17
320,2193,660,1,7131.19
321,623,724,5,13186.96
322,631,706,5,10645.64
323,1687,142,2,19578.04
324,2856,611,3,13683.15
325,1601,153,4,15750.88
326,1447,544,3,841.96
327,2938,72,4,7364.09
328,2267,333,2,18760.75
329,2114,368,2,3361.55
330,1792,164,2,11054.25
331,453,466,1,15848.72
332,1242,90,2,11728.64
333,1203,791,5,8503.6
334,308,565,3,16767.81
335,843,119,4,17617.19
336,1246,644,2,1810.5
337,427,336,3,5269.08
338,2589,294,4,17347.43
339,1384,33,1,14124.85
340,2074,178,2,12540.74
341,718,437,4,18486.22
342,2788,88,2,10738.54
343,2022,535,2,5110.98
344,685,31,1,14523.48
345,2332,764,2,225.25
346,986,131,5,16208.21
347,2893,643,4,17566.41
348,340,92,2,20173.15
349,2121,271,5,14540.12
350,2335,12,4,5903.97
351,496,446,3,15050.41
352,2963,791,3,7958.06
353,611,743,1,18335.8
354,2482,313,2,2446.06
355,283,451,4,379.82
356,223,650,3,13043.91
357,1576,26,1,16800.37
358,1904,341,2,170.11
359,2770,512,2,9328.35
360,2347,317,4,19007.66
361,864,266,2,4332.04
362,2581,432,1,14531.36
363,558,420,5,16983.05
364,2709,326,1,1410.42
365,2097,130,4,7214.15
366,591,188,4,20677.28
367,1722,4,5,15538.86
368,2792,429,4,17573.44
369,2902,716,4,1006.26
370,1834,134,3,7978.24
371,798,637,4,16247.91
372,2145,419,5,21994.67
373,697,277,5,1404.55
374,2429,479,1,9136.13
375,2292,593,1,7952.97
376,1053,371,1,17537.92
377,257,112,5,22442.66
378,1343,580,4,24926.5
379,850,150,2,12806.59
380,1226,279,2,11643.83
381,117,315,4,23412.1
382,757,772,4,19318.1
383,837,114,2,21395.55
384,2465,653,4,15953.64
385,487,620,3,19881.52
386,2210,263,5,18691.33
387,2089,18,4,4744.0
388,274,284,3,2904.47
389,903,91,1,16274.17
390,1588,728,5,22204.14
391,1617,201,5,11050.16
392,1028,544,2,838.66
393,1161,3,4,16932.3
394,298,231,3,20716.82
395,2683,295,5,3852.3
396,507,515,2,20283.38
397,2324,541,5,11684.39
398,1910,430,5,11917.94
399,1648,415,4,21744.36
400,787,793,1,3261.73
401,2565,101,1,21021.77
402,2920,187,1,11413.61
403,571,380,3,20344.95
404,1474,768,3,8882.5
405,2140,744,2,21941.03
406,1658,31,1,14500.82
407,121,53,3,3188.09
408,442,541,4,11340.51
409,873,246,4,14752.91
410,2183,731,5,22258.49
411,1146,60,2,19997.07
412,685,716,2,920.56
413,489,458,5,24122.88
414,590,638,5,11893.56
415,165,51,1,21482.52
416,2455,283,1,10751.03
417,459,215,3,12517.36
418,963,487,1,4870.89
419,2157,769,4,4665.75
420,2135,604,4,12407.54
421,569,569,4,18066.29
422,1908,768,1,9667.21
423,2122,776,4,14178.57
424,865,160,3,6170.13
425,1345,632,1,22599.6
426,2828,265,1,22266.02
427,1902,292,4,3878.31
428,1204,337,3,19284.84
429,1478,644,1,1679.28
430,2564,449,3,9716.4
431,362,543,2,18693.88
432,2752,24,4,4208.41
433,1843,572,5,1923.62
434,2497,455,5,487.22
435,166,483,2,23925.76
436,1595,614,1,18870.97
437,960,480,1,9433.09
438,2545,109,4,3553.85
439,592,707,5,407.38
440,1132,631,4,15672.77
441,1176,159,2,1128.42
442,561,694,5,14087.96
443,1157,603,4,11279.69
444,2594,503,1,6504.4
445,2474,497,3,3795.37
446,1600,42,4,24299.4
447,1255,574,1,1052.94
448,1188,8,2,11140.07
449,1915,561,1,307.79
450,334,734,5,7861.72
451,1014,361,4,17060.92
452,2563,513,1,498.57
453,1687,667,3,449.34
454,2272,301,2,14878.28
455,2740,139,2,15803.19
456,1662,191,2,17312.1
457,2804,125,4,20412.56
458,504,394,5,21505.13
459,2535,392,5,22185.22
460,1363,467,3,16030.4
461,2967,484,1,8989.92
462,2913,454,3,7586.22
463,1291,635,1,15178.55
464,2042,374,2,20435.04
465,2897,57,1,24015.08
466,472,306,2,15979.62
467,698,5,4,13166.86
468,670,223,2,5291.56
469,771,665,5,6080.17
470,2132,161,3,14250.57
471,359,720,1,19145.66
472,2632,228,5,16990.52
473,780,555,3,21519.86
474,1409,226,1,20001.24
475,2730,110,4,22755.32
476,2277,77,1,10367.64
477,505,235,1,18021.99
478,2697,378,1,5657.08
479,238,737,3,20684.34
480,2337,732,5,7821.48
481,693,716,3,950.81
482,2978,251,2,14690.01
483,2006,630,3,20653.25
484,273,564,1,7236.09
485,1337,334,1,17133.66
486,1909,780,3,6500.82
487,2001,431,3,22288.57
488,1718,160,4,6056.6
489,485,600,4,9545.26
490,501,126,3,18922.31
491,354,566,3,8850.22
492,1506,784,1,3534.68
493,2913,789,1,9891.42
494,2951,505,3,5237.91
495,99,138,2,1228.84
496,2346,784,5,3674.31
497,1546,101,3,19695.03
498,2431,159,4,1123.9
499,2988,655,1,21706.56
500,804,613,4,8072.6
501,2591,752,4,11186.17
502,1599,303,3,11971.33
503,73,756,3,8446.59
504,531,433,4,13273.46
505,789,38,3,14128.0
506,1701,105,1,18038.29
507,426,63,5,6694.05
508,439,371,4,19030.4
509,1836,773,4,1587.43
510,2793,657,2,13014.73
511,371,741,1,16334.89
512,1301,499,3,21295.41
513,2171,234,5,14984.32
514,2694,191,4,16142.18
515,2654,75,3,14678.3
516,2449,333,4,19165.29
517,2943,393,1,17599.22
518,337,177,3,19345.9
519,1318,770,4,6484.77
