order_id,order_date,customer_id,seller_id,order_status
1,2023-07-04,918,43,Completed
2,2023-02-28,951,96,Completed
3,2023-06-18,307,73,Shipped
4,2022-11-20,569,69,Completed
5,2023-08-15,702,43,Cancelled
6,2022-12-29,68,20,Completed
7,2022-02-01,348,49,Completed
8,2022-06-19,585,78,Completed
9,2023-09-02,120,97,Completed
10,2022-11-19,727,5,Completed
11,2022-03-30,509,31,Completed
12,2022-11-06,222,68,Completed
13,2022-04-25,384,5,Cancelled
14,2022-04-05,455,65,Completed
15,2023-05-10,927,65,Completed
16,2022-12-15,946,62,Shipped
17,2023-06-21,318,100,Completed
18,2022-04-11,842,67,Shipped
19,2022-05-16,211,93,Completed
20,2023-02-01,731,67,Completed
21,2022-11-15,955,6,Shipped
22,2023-09-01,893,12,Completed
23,2022-02-17,106,67,Shipped
24,2022-11-16,24,74,Shipped
25,2023-10-17,914,27,Completed
26,2022-07-17,294,36,Completed
27,2023-03-28,688,16,Completed
28,2022-06-11,281,15,Completed
29,2023-09-30,574,66,Completed
30,2023-07-10,359,71,Completed
31,2022-05-25,966,91,Cancelled
32,2023-08-11,251,22,Completed
33,2023-09-20,914,44,Completed
34,2022-02-21,134,4,Completed
35,2023-11-23,52,14,Completed
36,2022-03-30,437,51,Completed
37,2023-09-03,913,76,Completed
38,2023-12-08,717,58,Completed
39,2022-11-16,341,26,Shipped
40,2023-11-18,829,69,Completed
41,2023-04-22,582,17,Completed
42,2023-12-17,480,13,Completed
43,2023-12-02,660,91,Shipped
44,2023-04-27,238,29,Completed
45,2023-09-24,265,47,Completed
46,2023-12-18,940,86,Completed
47,2022-11-29,465,63,Completed
48,2023-05-02,116,45,Completed
49,2022-06-24,290,99,Completed
50,2023-08-12,131,66,Completed
51,2022-04-20,334,72,Completed
52,2022-11-06,546,60,Completed
53,2023-02-28,245,80,Completed
54,2022-06-12,998,62,Completed
55,2022-12-15,214,89,Completed
56,2023-03-22,581,44,Completed
57,2022-08-30,178,85,Shipped
58,2023-12-30,588,63,Completed
59,2023-09-03,475,42,Completed
60,2023-04-01,181,40,Pending
61,2022-03-13,613,14,Shipped
62,2023-09-03,790,49,Completed
63,2023-10-23,677,8,Completed
64,2022-05-23,909,75,Returned
65,2023-10-14,830,1,Shipped
66,2023-11-08,153,58,Completed
67,2023-02-04,631,74,Completed
68,2022-07-30,698,41,Completed
69,2023-11-27,312,56,Shipped
70,2022-12-19,92,75,Completed
71,2023-06-07,414,17,Returned
72,2022-03-05,379,71,Pending
73,2022-01-01,721,72,Cancelled
74,2023-01-03,113,37,Returned
75,2022-08-29,443,90,Completed
76,2023-10-03,326,92,Completed
77,2023-01-26,446,70,Completed
78,2022-06-27,487,18,Completed
79,2023-01-29,864,47,Cancelled
80,2022-06-07,296,86,Completed
81,2022-01-12,74,83,Completed
82,2023-05-14,674,56,Pending
83,2022-05-20,87,18,Completed
84,2023-03-02,881,59,Returned
85,2023-12-14,619,55,Completed
86,2023-04-11,522,55,Completed
87,2023-04-06,394,46,Completed
88,2023-03-11,620,1,Completed
89,2022-08-31,730,65,Completed
90,2023-07-14,591,47,Completed
91,2022-02-08,582,62,Shipped
92,2022-04-26,595,62,Pending
93,2022-03-23,146,94,Shipped
94,2022-10-14,477,67,Completed
95,2023-09-17,91,32,Completed
96,2023-11-11,984,86,Completed
97,2023-10-11,553,75,Completed
98,2022-02-24,926,44,Completed
99,2022-01-12,481,59,Completed
100,2023-04-26,588,94,Completed
101,2022-12-28,984,38,Completed
102,2022-02-06,712,77,Shipped
103,2023-08-01,267,8,Completed
104,2023-08-16,174,74,Completed
105,2022-10-26,829,95,Completed
106,2022-10-21,497,11,Completed
107,2022-03-20,872,36,Completed
108,2023-09-23,288,36,Returned
109,2022-01-15,760,15,Completed
110,2023-08-29,757,20,Shipped
111,2023-01-14,828,23,Completed
112,2023-12-19,242,63,Completed
113,2023-06-25,883,5,Completed
114,2022-03-28,991,19,Completed
115,2022-06-07,858,64,Shipped
116,2023-02-27,789,50,Completed
117,2023-03-27,744,82,Completed
118,2023-08-15,752,45,Completed
119,2022-09-28,774,15,Completed
120,2023-04-21,409,61,Completed
121,2023-06-30,240,49,Shipped
122,2023-02-04,486,34,Completed
123,2023-03-22,13,37,Returned
124,2023-04-05,392,87,Completed
125,2023-06-27,700,6,Completed
