seller_id,seller_name,origin
1,Elite Retail,India
2,Premier Retail,India
3,Superior Mart,USA
4,Speedy Mart,India
5,Silver Retail,China
6,Classic Store,India
7,Grand Distributors,India
8,Bright Mart,China
9,Modern Traders,India
10,Silver Ventures,India
11,National Collection,India
12,Royal Mart,India
13,Star Collection,India
14,Metro Exports,UK
15,Apex Enterprises,India
16,Value Wholesale,India
17,Modern Emporium,USA
18,Premier Collection,Japan
19,Sunrise Collection,China
20,Value Sellers,India
21,Vivid Bazaar,Thailand
22,Sunrise Wholesale,India
23,Reliable Outlet,Turkey
24,Classic Retail,India
25,Golden Emporium,India
26,Classic Enterprises,India
27,Reliable Ventures,India
28,Value Store,Germany
29,Pioneer Mart,India
30,Trust Enterprises,China
31,Royal Bazaar,USA
32,Silver Store,India
33,Global Emporium,China
34,Sunrise Store,India
35,Sunrise Emporium,India
36,Bright Outlet,India
37,Urban Outlet,Vietnam
38,Classic Ventures,India
39,Elite Emporium,India
40,Silver Collection,China
41,Grand Traders,China
42,Premier Sellers,India
43,Urban Exports,Germany
44,Trust Exports,Vietnam
45,Premier Mart,India
46,Metro Traders,China
47,Apex Outlet,China
48,Pioneer Exports,Turkey
49,Pioneer Ventures,Vietnam
50,Value Bazaar,India
51,Elite Sellers,Sri Lanka
52,Sunrise Distributors,India
53,Vivid Ventures,India
54,Global Wholesale,Bangladesh
55,Bright Enterprises,India
56,Urban Collection,China
57,Reliable Sellers,India
58,Bright Ventures,USA
59,Bright Retail,Bangladesh
60,National Hub,China
61,Grand Retail,Turkey
62,Global Enterprises,India
63,Prime Traders,Vietnam
64,Apex Traders,China
65,Premier Outlet,China
66,Trust Store,China
67,Speedy Bazaar,UK
68,Value Enterprises,Japan
69,Metro Retail,China
70,Prime Collection,USA
71,Apex Sellers,India
72,Pioneer Sellers,Vietnam
73,Sunrise Sellers,USA
74,Premier Wholesale,UAE
75,Royal Distributors,UK
76,Modern Exports,India
77,Silver Bazaar,India
78,National Ventures,USA
79,Star Emporium,India
80,Sunrise Exports,China
81,Modern Bazaar,India
82,Metro Bazaar,India
83,National Outlet,India
84,Sunrise Mart,Bangladesh
85,Metro Wholesale,India
86,Superior Bazaar,India
87,Silver Hub,India
88,Trust Retail,Turkey
89,Grand Mart,India
90,Bright Collection,India
91,Golden Store,China
92,Pioneer Emporium,Indonesia
93,Elite Store,Germany
94,Sunrise Enterprises,Turkey
95,Golden Hub,India
96,Urban Hub,India
97,Value Ventures,India
98,Bright Distributors,Indonesia
99,Prime Retail,Japan
100,Prime Outlet,India
