shipping_id,order_id,shipping_date,return_date,shipping_providers,delivery_status
1,1,2023-07-08,,Amazon Logistics,Delivered
2,2,2023-03-05,,Amazon Logistics,Delivered
3,3,2023-06-23,,India Post,In Transit
4,4,2022-11-21,,DTDC,Delivered
5,5,2023-08-18,,FedEx,Cancelled
6,6,2022-12-30,,Delhivery,Delivered
7,7,2022-02-02,,FedEx,Delivered
8,8,2022-06-20,,FedEx,Delivered
9,9,2023-09-06,,India Post,Delivered
10,10,2022-11-24,,DTDC,Delivered
11,11,2022-04-02,,DTDC,Delivered
12,12,2022-11-11,,Ekart,Delivered
13,13,2022-04-29,,BlueDart,Cancelled
14,14,2022-04-08,,BlueDart,Delivered
15,15,2023-05-13,,FedEx,Delivered
16,16,2022-12-20,,DTDC,In Transit
17,17,2023-06-26,,India Post,Delivered
18,18,2022-04-12,,India Post,In Transit
19,19,2022-05-19,,India Post,Delivered
20,20,2023-02-02,,FedEx,Delivered
21,21,2022-11-20,,Delhivery,In Transit
22,22,2023-09-04,,DTDC,Delivered
23,23,2022-02-21,,India Post,In Transit
24,24,2022-11-19,,BlueDart,In Transit
25,25,2023-10-19,,DTDC,Delivered
26,26,2022-07-18,,Ekart,Delivered
27,27,2023-04-01,,FedEx,Delivered
28,28,2022-06-14,,DTDC,Delivered
29,29,2023-10-03,,FedEx,Delivered
30,30,2023-07-12,,DTDC,Delivered
31,31,2022-05-28,,FedEx,Cancelled
32,32,2023-08-16,,BlueDart,Delivered
33,33,2023-09-21,,FedEx,Delivered
34,34,2022-02-23,,India Post,Delivered
35,35,2023-11-25,,Ekart,Delivered
36,36,2022-04-03,,Amazon Logistics,Delivered
37,37,2023-09-06,,DTDC,Delivered
38,38,2023-12-12,,Amazon Logistics,Delivered
39,39,2022-11-20,,India Post,In Transit
40,40,2023-11-22,,Ekart,Delivered
41,41,2023-04-25,,DTDC,Delivered
42,42,2023-12-22,,Amazon Logistics,Delivered
43,43,2023-12-04,,DTDC,In Transit
44,44,2023-04-30,,India Post,Delivered
45,45,2023-09-25,,Delhivery,Delivered
46,46,2023-12-20,,FedEx,Delivered
47,47,2022-12-03,,Delhivery,Delivered
48,48,2023-05-05,,India Post,Delivered
49,49,2022-06-29,,Amazon Logistics,Delivered
50,50,2023-08-14,,Ekart,Delivered
51,51,2022-04-25,,Ekart,Delivered
52,52,2022-11-11,,BlueDart,Delivered
53,53,2023-03-01,,Ekart,Delivered
54,54,2022-06-13,,India Post,Delivered
55,55,2022-12-18,,Amazon Logistics,Delivered
56,56,2023-03-25,,DTDC,Delivered
57,57,2022-09-04,,DTDC,In Transit
58,58,2024-01-04,,Amazon Logistics,Delivered
59,59,2023-09-06,,FedEx,Delivered
60,60,2023-04-05,,Ekart,Pending
61,61,2022-03-16,,India Post,In Transit
62,62,2023-09-04,,Ekart,Delivered
63,63,2023-10-27,,Delhivery,Delivered
64,64,2022-05-25,2022-06-01,Amazon Logistics,Returned
65,65,2023-10-18,,India Post,In Transit
66,66,2023-11-12,,BlueDart,Delivered
67,67,2023-02-06,,DTDC,Delivered
68,68,2022-08-02,,FedEx,Delivered
69,69,2023-11-29,,DTDC,In Transit
70,70,2022-12-20,,Delhivery,Delivered
71,71,2023-06-11,2023-06-19,Ekart,Returned
72,72,2022-03-08,,FedEx,Pending
73,73,2022-01-02,,Ekart,Cancelled
74,74,2023-01-06,2023-01-09,Amazon Logistics,Returned
75,75,2022-08-31,,Amazon Logistics,Delivered
76,76,2023-10-05,,Ekart,Delivered
77,77,2023-01-28,,India Post,Delivered
78,78,2022-07-01,,Ekart,Delivered
79,79,2023-02-01,,Delhivery,Cancelled
80,80,2022-06-08,,DTDC,Delivered
81,81,2022-01-15,,BlueDart,Delivered
82,82,2023-05-16,,DTDC,Pending
83,83,2022-05-21,,Ekart,Delivered
84,84,2023-03-03,2023-03-05,DTDC,Returned
85,85,2023-12-17,,DTDC,Delivered
86,86,2023-04-14,,FedEx,Delivered
87,87,2023-04-08,,Amazon Logistics,Delivered
88,88,2023-03-14,,DTDC,Delivered
89,89,2022-09-03,,FedEx,Delivered
90,90,2023-07-17,,Amazon Logistics,Delivered
91,91,2022-02-11,,Ekart,In Transit
92,92,2022-04-28,,BlueDart,Pending
93,93,2022-03-27,,FedEx,In Transit
94,94,2022-10-16,,Delhivery,Delivered
95,95,2023-09-20,,Amazon Logistics,Delivered
96,96,2023-11-15,,India Post,Delivered
97,97,2023-10-15,,Ekart,Delivered
98,98,2022-03-01,,BlueDart,Delivered
99,99,2022-01-17,,Amazon Logistics,Delivered
100,100,2023-05-01,,DTDC,Delivered
101,101,2022-12-29,,DTDC,Delivered
102,102,2022-02-11,,BlueDart,In Transit
103,103,2023-08-02,,FedEx,Delivered
104,104,2023-08-20,,Amazon Logistics,Delivered
105,105,2022-10-27,,DTDC,Delivered
106,106,2022-10-23,,BlueDart,Delivered
107,107,2022-03-24,,BlueDart,Delivered
108,108,2023-09-26,2023-10-03,India Post,Returned
109,109,2022-01-19,,FedEx,Delivered
110,110,2023-09-01,,Amazon Logistics,In Transit
111,111,2023-01-16,,BlueDart,Delivered
112,112,2023-12-24,,Ekart,Delivered
113,113,2023-06-30,,Delhivery,Delivered
114,114,2022-03-30,,Ekart,Delivered
115,115,2022-06-12,,Ekart,In Transit
116,116,2023-02-28,,Amazon Logistics,Delivered
117,117,2023-04-01,,India Post,Delivered
118,118,2023-08-17,,Amazon Logistics,Delivered
119,119,2022-09-29,,India Post,Delivered
120,120,2023-04-25,,BlueDart,Delivered
121,121,2023-07-05,,FedEx,In Transit
122,122,2023-02-09,,FedEx,Delivered
123,123,2023-03-27,2023-04-03,India Post,Returned
124,124,2023-04-06,,BlueDart,Delivered
125,125,2023-06-28,,DTDC,Delivered
126,126,2023-07-02,,Amazon Logistics,Pending
127,127,2023-03-24,2023-03-29,FedEx,Returned
128,128,2022-12-11,,BlueDart,Cancelled
129,129,2022-09-20,,DTDC,Delivered
130,130,2023-11-25,,Delhivery,In Transit
131,131,2023-08-27,,Delhivery,Delivered
132,132,2023-11-29,,DTDC,Delivered
133,133,2022-01-12,,BlueDart,Cancelled
134,134,2022-01-18,,India Post,Delivered
135,135,2023-12-05,,India Post,Delivered
136,136,2022-10-20,,India Post,Delivered
137,137,2023-09-29,,FedEx,Pending
138,138,2023-11-08,,Delhivery,Pending
139,139,2023-10-20,,FedEx,Pending
140,140,2022-03-31,,Delhivery,Delivered
141,141,2023-11-05,,India Post,Delivered
142,142,2022-07-11,,FedEx,In Transit
143,143,2022-09-22,,India Post,In Transit
144,144,2022-03-23,2022-04-02,Delhivery,Returned
145,145,2022-10-12,,FedEx,In Transit
146,146,2023-11-20,,FedEx,Delivered
147,147,2022-06-17,,FedEx,Delivered
148,148,2022-03-08,,DTDC,Delivered
149,149,2022-03-07,,FedEx,Delivered
150,150,2022-03-14,,Amazon Logistics,Delivered
151,151,2022-07-06,,Amazon Logistics,Delivered
152,152,2023-07-12,,Ekart,Delivered
153,153,2023-10-25,,Delhivery,In Transit
154,154,2022-04-19,,Amazon Logistics,Delivered
155,155,2022-09-16,,India Post,Delivered
156,156,2023-05-26,,FedEx,Delivered
157,157,2022-02-10,,DTDC,Delivered
158,158,2023-12-23,,India Post,Delivered
159,159,2023-06-13,,Delhivery,Delivered
160,160,2023-03-26,,Delhivery,Cancelled
161,161,2022-03-17,,Ekart,Delivered
162,162,2023-12-10,,Ekart,Delivered
163,163,2023-08-07,,Delhivery,Delivered
164,164,2022-11-11,,DTDC,Delivered
165,165,2023-10-28,,Amazon Logistics,Delivered
166,166,2022-12-16,,DTDC,In Transit
167,167,2022-10-28,,India Post,Delivered
168,168,2022-02-15,,Delhivery,In Transit
169,169,2022-11-05,2022-11-14,FedEx,Returned
170,170,2023-10-12,,Ekart,Delivered
171,171,2023-10-12,,Ekart,Delivered
172,172,2022-02-11,,Amazon Logistics,In Transit
173,173,2023-09-03,,FedEx,Delivered
174,174,2023-07-09,,India Post,Delivered
175,175,2023-04-11,,Ekart,Delivered
176,176,2022-03-03,,Amazon Logistics,Delivered
177,177,2022-05-05,,DTDC,In Transit
178,178,2023-04-20,2023-04-24,DTDC,Returned
179,179,2023-07-08,,FedEx,Delivered
180,180,2022-03-19,,India Post,Delivered
181,181,2023-11-02,2023-11-08,DTDC,Returned
182,182,2023-09-30,,Amazon Logistics,In Transit
183,183,2022-05-19,,Delhivery,Delivered
184,184,2022-11-16,,FedEx,Delivered
185,185,2022-06-27,,Delhivery,Delivered
186,186,2022-04-20,,Amazon Logistics,Delivered
187,187,2023-09-26,,DTDC,Cancelled
188,188,2023-03-17,,Ekart,In Transit
189,189,2022-12-02,,India Post,Delivered
190,190,2022-05-23,,Delhivery,In Transit
191,191,2023-09-05,,DTDC,Delivered
192,192,2022-10-09,,Delhivery,Delivered
193,193,2023-12-19,,Amazon Logistics,Delivered
194,194,2022-09-12,,Amazon Logistics,Delivered
195,195,2022-04-14,,Amazon Logistics,Delivered
196,196,2022-06-16,,FedEx,Delivered
197,197,2022-01-12,,DTDC,In Transit
198,198,2023-09-05,,Ekart,Delivered
199,199,2023-05-07,,Ekart,Delivered
200,200,2023-10-23,,BlueDart,Delivered
201,201,2022-09-03,,India Post,Delivered
202,202,2022-02-13,,Delhivery,In Transit
203,203,2023-09-21,,FedEx,Delivered
204,204,2022-11-07,,Delhivery,Delivered
205,205,2022-09-01,,DTDC,Pending
206,206,2022-04-12,2022-04-22,Ekart,Returned
207,207,2023-07-09,,Delhivery,Delivered
208,208,2023-10-05,,Delhivery,Delivered
209,209,2022-07-22,,Delhivery,In Transit
210,210,2023-05-03,,Ekart,Delivered
211,211,2022-02-19,,Amazon Logistics,Delivered
212,212,2022-08-06,,BlueDart,Delivered
213,213,2023-04-14,,India Post,In Transit
214,214,2023-07-06,,Delhivery,Cancelled
215,215,2023-05-17,,Ekart,Delivered
216,216,2022-09-02,,DTDC,Delivered
217,217,2022-12-05,,DTDC,In Transit
218,218,2022-12-04,,FedEx,Delivered
219,219,2022-08-24,,BlueDart,In Transit
220,220,2022-07-27,,Amazon Logistics,Delivered
221,221,2023-08-26,2023-09-02,FedEx,Returned
222,222,2022-06-02,,India Post,Delivered
223,223,2023-02-04,,India Post,Delivered
224,224,2022-07-22,,India Post,Pending
225,225,2022-07-31,,India Post,Delivered
